id,created_at,busName,busType,from,to,seatsAvailable,price,bookedSeats
1,2026-07-17 09:10:58.170762+00,Express Travels,AC,Surat,Mumbai,20,350,"[11,3,4]"
2,2026-07-17 09:17:53.575334+00,Dev Travel,Non-AC,Surat,Puna,20,550,"[3,4,15,16]"
3,2026-07-17 09:17:53.575334+00,City Travel,Non-AC,Puna,Surat,20,450,"[7,8,11,12,4,3,2,1,5,6,9,10,13,14,17,18,15,16,19,20]"
4,2026-07-17 09:17:53.575334+00,Megabus,AC,Rajkot,Surat,20,300,"[12,11]"
5,2026-07-17 09:17:53.575334+00,Express Travels,AC,Mumbai,Delhi,20,700,[11]
6,2026-07-17 09:17:53.575334+00,Shree Travel,Non-AC,Mumbai,Indore,20,400,"[7,8,1]"
7,2026-07-17 09:17:53.575334+00,Megabus,AC,Surat,Udaipur,20,650,"[17,18,7]"
8,2026-07-17 09:17:53.575334+00,VRL Travels,AC,Indore,Delhi,20,500,"[1,2]"
9,2026-07-17 09:17:53.575334+00,Shree Travel,Non-AC,Ahmedabad,Surat,20,300,"[1,2,3]"
10,2026-07-17 09:17:53.575334+00,VRL Travels,AC,Mumbai,Goa,20,350,"[3,4,5,6,9]"
11,2026-07-17 09:17:53.575334+00,Shree Travel,AC,Surat,Goa,20,800,[3]
12,2026-07-17 09:17:53.575334+00,VRL Travels,Non-AC,Mumbai,Kolakata,20,550,"[11,12]"
,,,,,,,,
,"allow bus – select, update",,,,,,,
